security,ARIMA_MSE_cumulative_return_test,ARIMA_MSE_cumulative_return_xval,ARIMA_MSE_price_test,ARIMA_MSE_price_xval,ARIMA_R2_cumulative_return_test,ARIMA_R2_cumulative_return_xval,ARIMA_R2_price_test,ARIMA_R2_price_xval,ARIMA_best_order_0,ARIMA_best_order_1,ARIMA_best_order_2,ARIMA_pred_cumulative_return_test,ARIMA_pred_cumulative_return_xval,cumulative_return_test,cumulative_return_xval
AMP,1.8299565151057617e-05,0.00015259141678921836,0.5846254978641036,0.6318204407065994,-0.24407188738462726,-2.0190311209104084,-1.418656259730536,0.26075167921037934,0,0,2,6.927036732529146e-05,-0.00616993256725229,-0.004680599037669042,-0.013523873787790408
AMT,7.595058587691261e-05,0.0002241881101692582,3.4178925460249023,3.1490139182981154,-0.4906166258063289,-0.05124934077924537,-3.1727582743003753,0.03873142938753116,0,1,0,0.01081906636243457,0.009114499139884824,-0.004022414985232148,0.03203164382714796
AMTD,0.000615161867046467,0.00022545429458982501,1.0855777735345227,0.36907007390163776,-2.326806167948458,-3.9116083969376136,-2.7324467009624613,-4.32528657588767,0,0,2,-1.0000076480110032e-05,0.0008235271791305898,-0.04715075642965183,-0.0024878099423146782
AMX,0.00031855561457799965,0.0014546844360718363,0.6688246309155416,0.4765747012212381,-2.0112273497852775,-9.946990174179932,-26.581557746895804,-15.046286236405251,1,0,0,-0.001424680584594995,-0.016900819505619724,0.011889035667107084,0.03612040133779271
AMZN,0.0015531537548397999,0.001657451745944074,9440.818913230192,1524.3377782704965,-32.53458562104174,-4.09230758162735,-229.18721370274403,-4.685214270616727,3,2,2,-0.05883038144865427,-0.023660878969600785,0.0070029284899684185,0.04332210310108908
ANET,0.0010220499789660494,0.0007969122062106213,201.7588740274855,22.119423248306223,-3.289851230869451,-24.79841029190418,-41.7895842904725,-35.83885479970284,0,2,1,0.09468966253385269,0.05910741206981851,0.03795856742756598,0.012695481461705294
ANSS,0.005583332033988774,2.624491147478218e-06,69.93513794891608,0.02959561467314699,-4.895082998604395,0.8235534506694137,-4.993023031974655,0.8348691878274082,0,1,0,0.01024704952829758,0.008627615433969504,0.08009008108108118,0.009838763136706508
ANTM,5.332341448411182e-05,0.0011128008625647485,123.23679602471495,103.98820217343102,0.04545221443319425,-3.5149592220078008,-67.13412458201636,-13.185467388725217,0,1,1,0.004942941825323732,0.004342297905354453,0.015449588580086937,0.051084289936274896
AON,0.0005523342233362207,6.772195075344375e-06,19.24994251843275,1.7670564313907413,-2.7216516952130028,-1.0904485514141773,-7.956600918691665,-37.062697791643785,0,0,0,2.1561197272035315e-11,-1.5448753387659053e-12,0.03290682343050766,0.0017542059685204947
AOS,0.00014956430351476438,0.0003216796580494239,5.85089244146934,2.4885733822560634,-1.2975082336605754,-1.4853125053931153,-29.799387386460552,-5.9439439037870345,0,1,0,0.00433692123053131,0.003629843412730205,0.0016660681229174745,0.011212486173032499
APA,0.0016518108133901563,0.0004304686400425299,7.394119144637631,0.9665016525167486,-2.0337368582914293,-0.884251145642208,-4.702488541175654,-0.6754355972235733,0,1,0,-0.015500207132046251,-0.012719681604739796,0.04651641488763136,-0.03542286567164177
APC,7.731216183010438e-05,0.0016259095344724579,41.400112201333386,3.3415929757503604,-0.3187342863283378,-1.4278440701957815,-260.6615309273927,-0.38235021718004325,0,1,0,-0.010054247964639051,-0.008295138674555003,-0.007892203890429106,-0.06324904915948582
APD,0.00132653820623418,0.000610210011761556,85.7651883610316,6.943044739175796,-20.420472850935464,-13.074717357667517,-65.95480127531654,-6.9723575395005355,0,2,1,0.0727389267453169,0.04438955407778766,0.0002780837022209326,0.012629704723903235
APH,0.0010355335637237664,0.000972029476258848,57.54383518466352,5.984100164641006,-17.35068268113217,-28.03395153980732,-199.64558476666915,-33.30771642037438,0,2,1,0.08097789268420486,0.0478097578776695,0.01865622080717877,-0.009420892213909737
